node_id,paper_ref,direct_predecessors,legacy_files,legacy_declarations,normalized_input,normalized_outcomes,observed_legacy_ct_ids,required_features,new_file,parity_module,legacy_kernel,new_kernel,parity_status,math_status,work_status,web_evidence,status,blocker
1,original_erdos_64_proof.tex node 1,,examples/erdos_64_eg/Erdos64EG/Node1.lean,,root,finite simple graph G,,,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node1.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node1.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
2,original_erdos_64_proof.tex node 2,1,examples/erdos_64_eg/Erdos64EG/Node2.lean,,node 1 residual,counterexample decision,,core.decision,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node2.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node2.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
3,original_erdos_64_proof.tex node 3,2,examples/erdos_64_eg/Erdos64EG/Node3.lean,,node 2 residual,not a counterexample terminal,,core.closure,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node3.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node3.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
4,original_erdos_64_proof.tex node 4,2,examples/erdos_64_eg/Erdos64EG/Node4.lean,,node 2 residual,lexicographically minimal counterexample,,core.focus-selection-work|core.progress|graph.progress,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node4.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node4.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
5,original_erdos_64_proof.tex node 5,4,examples/erdos_64_eg/Erdos64EG/Node5.lean,,node 4 residual,edge-rooted target algebra,,core.focus-selection-work|graph.rooted-return,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node5.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node5.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
6,original_erdos_64_proof.tex node 6,5,examples/erdos_64_eg/Erdos64EG/Node6.lean,,node 5 residual,Mersenne return decision,CT1,core.focus-selection-work|ct.ct1|graph.ct1|graph.rooted-return,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node6.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node6.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
7,original_erdos_64_proof.tex node 7,6,examples/erdos_64_eg/Erdos64EG/Node7.lean,,node 6 residual,power-of-two cycle terminal,,core.closure|ct.ct1|graph.ct1|graph.rooted-return,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node7.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node7.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
8,original_erdos_64_proof.tex node 8,6,examples/erdos_64_eg/Erdos64EG/Node8.lean,,node 6 residual,no proper minimum-degree-three subgraph,CT1,core.focus-selection-work|core.progress|graph.proper-subgraph-minimality,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node8.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node8.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
9,original_erdos_64_proof.tex node 9,8,examples/erdos_64_eg/Erdos64EG/Node9.lean,,node 8 residual,edge-deletion criticality,,core.focus-selection-work|graph.deletion-criticality,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node9.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node9.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
10,original_erdos_64_proof.tex node 10,9,examples/erdos_64_eg/Erdos64EG/Node10.lean,,node 9 residual,high-degree vertices independent,,core.focus-selection-work|graph.deletion-criticality,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node10.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node10.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
