graph_order,node_id,node_kind,title,terminal_case,contracts,lean_contract,source_file
1,CT13.entry,entry,Validated CT13 tier-account entry,,S-Def,StructuralExhaustion.CT13.Nodes.Entry.Contract,StructuralExhaustion/CT13/Nodes/Entry.lean
2,CT13.decide.scope,decision,Measurable tier-resource scope,,A-Scope,StructuralExhaustion.CT13.Nodes.Scope.Contract,StructuralExhaustion/CT13/Nodes/Scope.lean
3,CT13.terminal.scope,terminal,Missing tier-resource scope terminal,scope,A-Scope,StructuralExhaustion.CT13.RawOutcome,StructuralExhaustion/CT13/Execution.lean
4,CT13.decide.availability,decision,Tier-one availability decision,,S-Dich,StructuralExhaustion.CT13.Nodes.Availability.Contract,StructuralExhaustion/CT13/Nodes/Availability.lean
5,CT13.certify.tierOne,certification,Tier-one canonical payment certification,,S-Det,StructuralExhaustion.CT13.Nodes.TierOne.Contract,StructuralExhaustion/CT13/Nodes/TierOne.lean
6,CT13.certify.tierOneRouting,certification,Tier-one account routing certification,,S-Rout,StructuralExhaustion.CT13.Nodes.TierOneRouting.Contract,StructuralExhaustion/CT13/Nodes/TierOneRouting.lean
7,CT13.terminal.ct4,terminal,CT4 tier-one account handoff,ct4,S-Rout|S-Trig,StructuralExhaustion.CT13.RawOutcome,StructuralExhaustion/CT13/Execution.lean
8,CT13.certify.fallback,certification,Minimal-obstruction fallback certification,,S-Def|S-Det,StructuralExhaustion.CT13.Nodes.Fallback.Contract,StructuralExhaustion/CT13/Nodes/Fallback.lean
9,CT13.decide.reconciliation,decision,Tier-resource reconciliation decision,,S-Dich|S-Comp,StructuralExhaustion.CT13.Nodes.Reconciliation.Contract,StructuralExhaustion/CT13/Nodes/Reconciliation.lean
10,CT13.certify.comparison,certification,Combined-capacity certification,,S-Comp,StructuralExhaustion.CT13.Nodes.Comparison.Contract,StructuralExhaustion/CT13/Nodes/Comparison.lean
11,CT13.terminal.c4,terminal,C4 reconciled-tier terminal,c4,A-Cert,StructuralExhaustion.CT13.RawOutcome,StructuralExhaustion/CT13/Execution.lean
12,CT13.decide.overlapRouting,decision,Overlap-residual routing,,S-Rout,StructuralExhaustion.CT13.Nodes.Routing.Contract,StructuralExhaustion/CT13/Nodes/Routing.lean
13,CT13.terminal.ct9,terminal,CT9 overlap-fibre handoff,ct9,S-Rout|S-Trig,StructuralExhaustion.CT13.RawOutcome,StructuralExhaustion/CT13/Execution.lean
14,CT13.terminal.ct14,terminal,CT14 overlap-mass handoff,ct14,S-Rout|S-Trig,StructuralExhaustion.CT13.RawOutcome,StructuralExhaustion/CT13/Execution.lean
