tactic_id,node_number,node_id,local_key,node_type,title,contracts,source_line
CT1,1,CT1.N01,target,definition,Definition — target predicate T,S-Def,2342
CT1,2,CT1.N02,tests,definition,Definition — local test family T_family=\T_i\_i∈ I,S-Def,2343
CT1,3,CT1.N03,witness,definition,Definition — candidate witness spaces W_i(G),S-Def,2344
CT1,4,CT1.N04,scope,decision,Lemma — bounded radius/interface; finite type index,S-Dich,2345
CT1,5,CT1.N05,scopebad,scope_audit,Scope candidate — no local test family — scope audit,A-Scope,2346
CT1,6,CT1.N06,complete,decision,Lemma — T exists iff some T_i is realized,S-Dich,2347
CT1,7,CT1.N07,testgap,recovery,Repair datum — bounded witness missing from T_family,S-Def|S-Rout,2348
CT1,8,CT1.N08,testlemma,assertion,Lemma — extend T_family by the missing witness type,S-Prove,2349
CT1,9,CT1.N09,testroute,consumer_handoff,CT 1 — local target tests,S-Trig,2350
CT1,10,CT1.N10,hitq,decision,Dichotomy lemma — target realization vs.\ target-avoiding state,S-Dich,2351
CT1,11,CT1.N11,hit,certificate,C1 — realized test gives target closure,A-Cert|S-Equiv,2352
CT1,12,CT1.N12,avoid,definition,Branch-state definition — B_not T: all tests absent,S-Def,2353
CT1,13,CT1.N13,register,assertion,Lemma — persistence of T_i-absence,S-Prove|S-Pers,2354
CT1,14,CT1.N14,next,decision,Payload-classification lemma — certified surviving data map to declared payloads,S-Dich,2355
CT1,15,CT1.N15,minlemma,payload_constructor,Payload lemma — build P_1→2 — proper piece,S-Rout,2356
CT1,16,CT1.N16,typelemma,payload_constructor,Payload lemma — build P_1→3 — boundary datum,S-Rout,2357
CT1,17,CT1.N17,chargelemma,payload_constructor,Payload lemma — build P_1→4 — charge map,S-Rout,2358
CT1,18,CT1.N18,sitelemma,payload_constructor,Payload lemma — build P_1→5 — local sites,S-Rout,2359
CT1,19,CT1.N19,activelemma,payload_constructor,Payload lemma — build P_1→6 — activity setup,S-Rout,2360
CT1,20,CT1.N20,thicklemma,payload_constructor,Payload lemma — build P_1→17 — sparse offsets,S-Rout,2361
CT1,21,CT1.N21,minroute,consumer_handoff,CT 2 — minimality / replacement,S-Trig,2362
CT1,22,CT1.N22,typeroute,consumer_handoff,CT 3 — external types,S-Trig,2363
CT1,23,CT1.N23,chargeroute,consumer_handoff,CT 4 — charging,S-Trig,2364
CT1,24,CT1.N24,siteroute,consumer_handoff,CT 5 — local-to-global,S-Trig,2365
CT1,25,CT1.N25,activeroute,consumer_handoff,CT 6 — active/dormant,S-Trig,2366
CT1,26,CT1.N26,thickroute,consumer_handoff,CT 17 — target thickening,S-Trig,2367
CT2,1,CT2.N01,input,input,Assumption — minimal counterexample G under a fixed well-order,S-Trig,2488
CT2,2,CT2.N02,piece,decision,Definition — admissible piece X with interface data,S-Dich,2489
